,Fuel_Type,Body_Type,Gears,Seating_Capacity,Ventilation_System,Airbags,Navigation_System,Model_Name,Mileage,Fuel_Capacity,Price
346,Petrol,SUV,8,5.0,4 Zone climate control,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Bentley Bentayga,8.77,85.0,37542069
348,Petrol,Coupe,7,2.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Ferrari 458 Speciale,9.0,86.0,42531500
352,Petrol,Sedan,8,4.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Bentley Mulsanne,9.5,90.0,52571294
359,Petrol,Hatchback,5,5.0,None,None,None,Maruti Suzuki Alto,22.05,35.0,294800
360,Petrol,Hatchback,5,5.0,None,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Alto,22.05,35.0,299900
361,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Alto,22.05,35.0,352900
362,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto,22.05,35.0,357200
363,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Alto,22.05,35.0,376100
364,CNG + Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Alto,22.05,35.0,405570
365,CNG + Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto,22.05,35.0,409190
366,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Alto,22.05,35.0,389600
367,Petrol,Hatchback,5,5.0,None,Driver frontal airbag,None,Maruti Suzuki S-Presso,21.4,27.0,370500
368,Petrol,Hatchback,5,5.0,None,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.4,27.0,376500
369,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki S-Presso,21.4,27.0,409000
370,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.4,27.0,415000
371,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki S-Presso,21.7,27.0,432500
372,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.7,27.0,438500
373,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki S-Presso,21.7,27.0,475500
374,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.7,27.0,456000
375,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.7,27.0,481500
376,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki S-Presso,21.7,27.0,499000
377,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Celerio,23.1,35.0,426289
378,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Celerio,23.1,35.0,465138
379,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Celerio,23.1,35.0,508138
380,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Celerio,23.1,35.0,490924
381,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Celerio,23.1,35.0,531279
382,CNG,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Celerio,31.79,35.0,530000
383,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Celerio,23.1,35.0,533924
384,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Celerio,23.1,35.0,434659
385,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Celerio,23.1,35.0,472257
386,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Celerio,23.1,35.0,515257
387,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Celerio,23.1,35.0,543279
390,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Hyundai Grand I10 Prime,19.77,43.0,460369
391,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Hyundai Grand I10 Prime,19.77,43.0,477511
392,CNG,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Hyundai Grand I10 Prime,25.0,43.0,545946
393,CNG,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Hyundai Grand I10 Prime,25.0,43.0,528804
394,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,18.15,35.0,488194
395,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Front passenger frontal airbag, Driver frontal airbag",None,Mahindra Kuv100 Nxt,18.15,35.0,532184
396,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,25.32,35.0,590798
397,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Front passenger frontal airbag, Driver frontal airbag",None,Mahindra Kuv100 Nxt,25.32,35.0,619243
398,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,25.32,35.0,667273
399,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,18.15,35.0,579645
400,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,18.15,35.0,631144
401,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,25.32,35.0,754548
402,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,18.15,35.0,693550
403,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,25.32,35.0,787304
404,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,18.15,35.0,701045
405,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,25.32,35.0,794800
406,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,18.15,35.0,573250
407,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,18.15,35.0,631146
408,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,18.15,35.0,687175
409,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,25.32,35.0,660832
410,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Mahindra Kuv100 Nxt,25.32,35.0,748128
411,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mahindra Kuv100 Nxt,25.32,35.0,780884
412,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,25.32,35.0,550155
413,Diesel,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,25.32,35.0,559741
414,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,18.15,35.0,524312
415,Petrol,Hatchback,5,6.0,Manual Air conditioning with cooling and heating,None,None,Mahindra Kuv100 Nxt,18.15,35.0,542913
416,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,519000
417,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,619000
418,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,666000
